interest,registration,vote_2016,vote_intention,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,state,congress_district,language,vote_biden,age_group,race,education_level,stateicp
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,male,South,not hispanic,White,"$150,000 to $199,999",VA,VA10,"No, we speak only English.",1,age_45-59,white,Graduate degree,virginia
Some of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,Midwest,not hispanic,White,"$50,000 to $99,999",IL,IL05,"Yes, we speak a language other than Spanish or English.",0,age_45-59,white,Post secondary or higher,illinois
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,Another country,male,Northeast,hispanic,White,"$50,000 to $99,999",NJ,NJ05,"Yes, we speak Spanish.",0,age_30-44,white,Post secondary or higher,new jersey
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,Northeast,not hispanic,White,"$100,000 to $149,999",NJ,NJ12,"No, we speak only English.",1,age_45-59,white,Graduate degree,new jersey
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Retired,The United States,female,Northeast,not hispanic,White,"Less than $50,000",RI,RI02,"No, we speak only English.",0,age_60_or_more,white,Some post secondary,rhode island
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Part-time employed,The United States,female,Northeast,not hispanic,White,"Less than $50,000",CA,CA40,"No, we speak only English.",0,age_18-29,white,High school or less,california
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Retired,The United States,female,West,not hispanic,White,"Less than $50,000",CO,CO07,"No, we speak only English.",1,age_60_or_more,white,Post secondary or higher,colorado
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,Northeast,not hispanic,White,"$200,000 to $249,999",NJ,NJ10,"No, we speak only English.",0,age_60_or_more,white,Graduate degree,new jersey
Some of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Retired,The United States,female,Midwest,not hispanic,White,"$50,000 to $99,999",MI,MI02,"No, we speak only English.",0,age_60_or_more,white,Post secondary or higher,michigan
Hardly at all,Don't know,Hillary Clinton,Not sure,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,White,"$100,000 to $149,999",MI,MI09,"No, we speak only English.",1,age_45-59,white,Graduate degree,michigan
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Full-time employed,The United States,male,South,not hispanic,White,"$250,000 and above",OK,OK04,"No, we speak only English.",1,age_30-44,white,Graduate degree,oklahoma
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Full-time employed,The United States,male,Northeast,not hispanic,White,"$100,000 to $149,999",NY,NY06,"No, we speak only English.",0,age_60_or_more,white,High school or less,new york
